,PMID,LastName,ForeName,Initials,Affiliation
2018,2041,"['Kienlen', 'Arnefaux', 'Brabet', 'Dupont', 'Grolleau', 'Guilhot', 'Laurent', 'Sube', 'Vernette', 'Wintrebert', 'du Cailar']","['J', 'J', 'L', 'M H', 'D', 'R', 'S', 'J', 'M', 'P', 'J']","['J', 'J', 'L', 'MH', 'D', 'R', 'S', 'J', 'M', 'P', 'J']",
2019,2042,"['Gouin', 'Kiegel', 'Magnin', 'Rossi']","['F', 'P', 'D', 'F']","['F', 'P', 'D', 'F']",
2020,2043,['Assadourian'],['R'],['R'],
2021,2044,"['Otteni', 'Haberer']","['J C', 'J P']","['JC', 'JP']",
2022,2045,"['Dubouloz', 'Moisan', 'Signouret', 'Faizende']","['F', 'D', 'B', 'J']","['F', 'D', 'B', 'J']",
2023,2046,"['Francois', 'Gouin', 'Nava', 'Pontier']","['G', 'F', 'G', 'R']","['G', 'F', 'G', 'R']",
2024,2047,"['Assadourian', 'Chometowski', 'Dufour', 'Bourde', 'Lamy']","['R', 'S', 'J', 'J', 'J']","['R', 'S', 'J', 'J', 'J']",
2025,2048,"['Gouin', 'Dubouloz', 'Quilichini', 'Signouret']","['F', 'F', 'F', 'B']","['F', 'F', 'F', 'B']",
2026,2049,"['Fogliani', 'Chauvin', 'Ohresser']","['J', 'G', 'P']","['J', 'G', 'P']",
2027,2050,"['Barale', 'Gillet', 'Camelot', 'Prieur', 'Boillot', 'Monciardini']","['F', 'M', 'G', 'C', 'A', 'M']","['F', 'M', 'G', 'C', 'A', 'M']",
2028,2051,"['Manelli', 'Rouzaud', 'Reynaud', 'Blanc', 'Mahe', 'Palayret', 'Bimar']","['J C', 'M', 'C', 'M C', 'J L', 'D', 'J']","['JC', 'M', 'C', 'MC', 'JL', 'D', 'J']",
2029,2052,"['Argeme', 'Signouret', 'Michotey']","['M', 'B', 'G']","['M', 'B', 'G']",
2030,2053,"['Fogliani', 'Chauvin', 'Pons', 'Ohresser']","['J', 'G', 'R', 'P']","['J', 'G', 'R', 'P']",
2031,2054,"['Fogliani', 'Tomasini-Giauffre']","['S', 'E']","['S', 'E']",
2032,2055,"['Hui Bon Hoa', 'Laxenaire', 'Gerard']","['S', 'M C', 'D']","['S', 'MC', 'D']",
2033,2056,['Huguenard'],['P'],['P'],
2034,2057,"['Baldy-Moulinier', 'Besset-Lehmann']","['M', 'J']","['M', 'J']",
2035,2058,"['Laxenaire', 'Picard', 'Sigiel', 'Robet']","['M C', 'L', 'M', 'J']","['MC', 'L', 'M', 'J']",
2036,2059,"['Michelangeli', 'Cordier', 'Melandri', 'Gaspaillard', 'Migliori', 'Maestracci']","['F', 'M', 'P', 'M', 'G', 'P']","['F', 'M', 'P', 'M', 'G', 'P']",
2037,2060,"['Desbaumes', 'Ducel', 'Imhoff', 'Rouge']","['E', 'G', 'C', 'J C']","['E', 'G', 'C', 'JC']",
2038,2061,"['Milhaud', 'Nemitz', 'Benard']","['A', 'B', 'J P']","['A', 'B', 'JP']",
2039,2062,"['Huguenard', 'Hanote', 'Metrot']","['P', 'P', 'J']","['P', 'P', 'J']",
2040,2063,"['Scheydeker', 'Pozzo di Borgo', 'Petitjean', 'Ladouce', 'Seys', 'Rendoing']","['J L', 'C', 'C', 'C', 'G A', 'J']","['JL', 'C', 'C', 'C', 'GA', 'J']",
2041,2064,"['Michel', 'Vandeperre', 'Lantin']","['L', 'J', 'A']","['L', 'J', 'A']",
2042,2065,"['Ohresser', 'Sainty', 'Belnet', 'Cano']","['P', 'J M', 'M', 'N']","['P', 'JM', 'M', 'N']",
2043,2066,['Canet'],['J'],['J'],
2044,2067,"['Rouge', 'Lacourt']","['J C', 'G']","['JC', 'G']",
2045,2068,['Salle'],['B'],['B'],
2046,2069,"['Unal', 'Picon', 'Fieschi', 'Camboulives', 'Leclaire']","['D', 'G', 'A', 'J', 'M']","['D', 'G', 'A', 'J', 'M']",
2047,2070,"['Scheyer', 'Iannascoli', 'Brioude', 'Canet']","['M', 'F', 'R', 'J']","['M', 'F', 'R', 'J']",
2048,2071,"['Krajevitch', 'Blot', 'Cara']","['A', 'P', 'M']","['A', 'P', 'M']",
2049,2072,"['Cloup', 'Pellerin', 'Fekete', 'Harouchi', 'Voyer', 'Chlabovitch', 'Chassevent']","['M', 'D', 'C', 'A', None, 'E', 'J']","['M', 'D', 'C', 'A', None, 'E', 'J']",
2050,2073,"['Mercier', 'Robert', 'Casenave', 'Laugier']","['C', 'M', 'C', 'J']","['C', 'M', 'C', 'J']",
2051,2074,"['Fiemeyer', 'Leca-Chetochine', 'Thibert', 'Louville', 'Mathey', 'Cara']","['A', 'F', 'M', 'Y', 'J', 'M']","['A', 'F', 'M', 'Y', 'J', 'M']",
2052,2075,"['Larroche', 'Amiel', 'Relier', 'Korn']","['J C', 'C', 'J P', 'G']","['JC', 'C', 'JP', 'G']",
2053,2076,['Tours'],[None],[None],
2054,2077,"['Camboulives', 'Sicardi', 'Bimar']","['J', 'F', 'J']","['J', 'F', 'J']",
